Captura_Sistema,Web_Fecha_Origen,Web_Hora_Origen,Temp_Actual_C,Temp_Min_Diaria_C,Temp_Max_Diaria_C,Temp_Hora_Min,Temp_Hora_Max,Temp_Min_Mensual_C,Temp_Max_Mensual_C,Hum_Actual_pct,Hum_Min_Diaria_pct,Hum_Max_Diaria_pct,Hum_Hora_Min,Hum_Hora_Max,Punto_Rocio_C,Presion_hPa,Viento_Vel_kmh,Viento_Dir,Viento_Max_kmh,Viento_Hora_Max,Lluvia_Dia_mm,Lluvia_Mes_mm,ET_Dia_mm,Rad_Solar_Wm2,UV_Indice,UV_Max_Diaria,UV_Hora_Max
2026-05-13 09:31:43,0,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,S,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-05-13 11:51:22,13/05/26,8:45a,9.6,7.5,13.1,7:52a,12:00a,2.3,26.1,76,69,82,12:00a,7:41a,5.5,1019.5,0,S,0,,0.0,43.2,0.20,162,0.5,0.5,8:43a
2026-05-13 15:36:27,13/05/26,12:30p,14.2,7.5,14.3,7:52a,12:24p,2.3,26.1,45,44,82,12:24p,7:41a,2.4,1018.6,0,SO,0,,0.0,43.2,0.84,452,2.5,3.3,12:24p
2026-05-13 17:50:58,13/05/26,2:45p,14.5,7.5,15.1,7:52a,1:22p,2.3,26.1,46,43,82,12:47p,7:41a,3.0,1017.5,0,S,0,,0.0,43.2,1.52,341,1.8,3.6,1:09p
2026-05-13 20:26:29,13/05/26,5:20p,13.9,7.5,15.4,7:52a,3:49p,2.3,26.1,54,42,82,3:08p,7:41a,4.8,1017.2,0,SO,0,,0.0,43.2,2.16,26,0.0,3.6,1:09p
2026-05-13 22:49:17,0,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,S,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-05-14 04:32:45,13/05/26,10:55p,11.2,7.5,15.4,7:52a,3:49p,2.3,26.1,77,42,82,3:08p,7:41a,7.3,1018.2,0,N,0,,0.0,43.2,2.26,0,0.0,3.6,1:09p
2026-05-14 09:19:37,14/05/26,6:15a,10.8,9.4,11.2,5:00a,12:32a,2.3,26.1,76,76,86,6:07a,4:59a,6.8,1020.0,0,SSO,0,,0.0,43.2,0.13,0,0.0,0.0,
2026-05-14 11:28:52,0,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,S,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-05-14 15:10:44,14/05/26,12:05p,14.7,9.4,14.7,5:00a,11:58a,2.3,26.1,57,55,86,11:06a,4:59a,6.3,1021.9,0,SO,0,,0.0,43.2,0.81,587,2.6,2.6,12:02p
